animal,type,zoo
Spectacled caiman,amph/rep,Chicago (Lincoln Park)
Black tree monitor,amph/rep,Chicago (Lincoln Park)
Caiman lizard,amph/rep,Chicago (Lincoln Park)
Henkel's leaf-tailed gecko,amph/rep,Chicago (Lincoln Park)
Mexican beaded lizard,amph/rep,Chicago (Lincoln Park)
Prehensile-tailed skink,amph/rep,Chicago (Lincoln Park)
Scheltopusik,amph/rep,Chicago (Lincoln Park)
Standing's day gecko,amph/rep,Chicago (Lincoln Park)
Eastern massasauga rattlesnake,amph/rep,Chicago (Lincoln Park)
Kenyan sand boa,amph/rep,Chicago (Lincoln Park)
Blanding's turtle,amph/rep,Chicago (Lincoln Park)
Eastern box turtle,amph/rep,Chicago (Lincoln Park)
Midland painted turtle,amph/rep,Chicago (Lincoln Park)
Red-footed tortoise,amph/rep,Chicago (Lincoln Park)
Spider tortoise,amph/rep,Chicago (Lincoln Park)
Spotted turtle,amph/rep,Chicago (Lincoln Park)
Three-toed box turtle,amph/rep,Chicago (Lincoln Park)
Wood turtle,amph/rep,Chicago (Lincoln Park)
Yellow-spotted Amazon River turtle,amph/rep,Chicago (Lincoln Park)
American toad,amph/rep,Chicago (Lincoln Park)
Dyeing poison arrow frog,amph/rep,Chicago (Lincoln Park)
Oriental fire-bellied toad,amph/rep,Chicago (Lincoln Park)
Solomon Islands leaf frog,amph/rep,Chicago (Lincoln Park)
Axolotl,amph/rep,Chicago (Lincoln Park)
Emperor newt,amph/rep,Chicago (Lincoln Park)
Alligator,amph/rep,San Diego
Anaconda,amph/rep,San Diego
Boa,amph/rep,San Diego
Chameleon,amph/rep,San Diego
Cobra,amph/rep,San Diego
Crocodile,amph/rep,San Diego
"Crocodile, Slender-Snouted ",amph/rep,San Diego
Galápagos Tortoise,amph/rep,San Diego
Gharial,amph/rep,San Diego
Gila Monster ,amph/rep,San Diego
Iguana,amph/rep,San Diego
Kingsnake,amph/rep,San Diego
Komodo Dragon,amph/rep,San Diego
Lizard,amph/rep,San Diego
Python,amph/rep,San Diego
Rattlesnake,amph/rep,San Diego
Snake ,amph/rep,San Diego
"Tortoise, Galápagos",amph/rep,San Diego
Tuatara ,amph/rep,San Diego
Turtle & Tortoise,amph/rep,San Diego
Caecilian,amph/rep,San Diego
Frog & Toad,amph/rep,San Diego
Goliath Frog ,amph/rep,San Diego
Mantella,amph/rep,San Diego
Panamanian Golden Frog,amph/rep,San Diego
Poison Frog ,amph/rep,San Diego
Salamander & Newt,amph/rep,San Diego
African Wild Dog,mammal,San Diego
Agouti,mammal,San Diego
"Anteater, Giant",mammal,San Diego
"Anteater, Lesser ",mammal,San Diego
Antelope,mammal,San Diego
"Antelope, Spiral-horned ",mammal,San Diego
Armadillo,mammal,San Diego
"Ass, Wild ",mammal,San Diego
Bat,mammal,San Diego
Bat-eared Fox,mammal,San Diego
Andean (Spectacled) Bear,mammal,San Diego
Brown Bear ,mammal,San Diego
Giant Panda ,mammal,San Diego
Polar Bear ,mammal,San Diego
Sloth Bear ,mammal,San Diego
Sun Bear ,mammal,San Diego
Binturong,mammal,San Diego
Bonobo (Pygmy Chimpanzee),mammal,San Diego
Camel,mammal,San Diego
Capybara,mammal,San Diego
Caracal,mammal,San Diego
Cheetah,mammal,San Diego
Clouded Leopard ,mammal,San Diego
Fishing Cat ,mammal,San Diego
Jaguar ,mammal,San Diego
Leopard ,mammal,San Diego
Lion,mammal,San Diego
Lynx & Bobcat ,mammal,San Diego
"Mountain Lion (Puma, Cougar)",mammal,San Diego
Ocelot ,mammal,San Diego
Serval ,mammal,San Diego
Small Cat,mammal,San Diego
Snow Leopard ,mammal,San Diego
Tiger ,mammal,San Diego
"Cattle, Wild",mammal,San Diego
Chimpanzee,mammal,San Diego
"Devil, Tasmanian ",mammal,San Diego
Dhole,mammal,San Diego
Dolphin,mammal,San Diego
Echidna,mammal,San Diego
Elephant,mammal,San Diego
Fossa,mammal,San Diego
"Fox, Bat-eared ",mammal,San Diego
Giant Anteater,mammal,San Diego
Giraffe,mammal,San Diego
Goat,mammal,San Diego
Gorilla,mammal,San Diego
Guanaco,mammal,San Diego
Guenon,mammal,San Diego
Hedgehog ,mammal,San Diego
Hippopotamus,mammal,San Diego
"Hippopotamus, Pygmy",mammal,San Diego
Honey Badger (Ratel) ,mammal,San Diego
"Horse, Przewalski's",mammal,San Diego
"Hyena, Spotted",mammal,San Diego
"Hyena, Striped",mammal,San Diego
"Hyrax, Rock",mammal,San Diego
Kangaroo & Wallaby,mammal,San Diego
Kinkajou,mammal,San Diego
Koala,mammal,San Diego
"Lechwe, Nile ",mammal,San Diego
Mandrill,mammal,San Diego
Mangabey,mammal,San Diego
Marsupial,mammal,San Diego
Meerkat,mammal,San Diego
Monkey,mammal,San Diego
Naked Mole-rat,mammal,San Diego
Nile Lechwe,mammal,San Diego
Okapi,mammal,San Diego
Orangutan,mammal,San Diego
Oryx,mammal,San Diego
Otter,mammal,San Diego
Pangolin,mammal,San Diego
"Pigs, Wild",mammal,San Diego
Porcupine,mammal,San Diego
Prairie Dog ,mammal,San Diego
Pronghorn ,mammal,San Diego
Przewalski's Horse,mammal,San Diego
Pygmy Chimpanzee (Bonobo),mammal,San Diego
Pygmy Hippopotamus ,mammal,San Diego
Pygmy Marmoset,mammal,San Diego
Ratel (Honey Badger),mammal,San Diego
Red Panda,mammal,San Diego
Reindeer NEW! ,mammal,San Diego
Rhinoceros,mammal,San Diego
Rock Hyrax,mammal,San Diego
Sea Lion,mammal,San Diego
Sheep,mammal,San Diego
Siamang,mammal,San Diego
Singing Dog,mammal,San Diego
"Sloth, Two-toed ",mammal,San Diego
Spiral-horned Antelope ,mammal,San Diego
Spotted Hyena ,mammal,San Diego
Striped Hyena ,mammal,San Diego
"Swine, Wild ",mammal,San Diego
Takin,mammal,San Diego
Tamandua (Lesser Anteater),mammal,San Diego
Tapir,mammal,San Diego
Tasmanian Devil,mammal,San Diego
Wallaby & Kangaroo,mammal,San Diego
Warthog,mammal,San Diego
Whale,mammal,San Diego
Wild Ass,mammal,San Diego
Wild Cattle,mammal,San Diego
"Wild Dog, African",mammal,San Diego
Wild Swine,mammal,San Diego
Wolf,mammal,San Diego
Wombat,mammal,San Diego
Zebra,mammal,San Diego
Bali Mynah ,bird,San Diego
Bird of Paradise ,bird,San Diego
Cassowary ,bird,San Diego
"Condor, Andean ",bird,San Diego
"Condor, California ",bird,San Diego
Cockatoo ,bird,San Diego
Crane,bird,San Diego
"Eagle, Bald",bird,San Diego
"Eagle, Crowned",bird,San Diego
"Eagle, Golden",bird,San Diego
"Eagle, Harpy",bird,San Diego
"Eagle, Steller's Sea-eagle",bird,San Diego
Emu,bird,San Diego
Flamingo,bird,San Diego
Guam Rail ,bird,San Diego
"Hawk, Red-tailed",bird,San Diego
Hornbill,bird,San Diego
Hummingbird,bird,San Diego
Ibis,bird,San Diego
Jacana ,bird,San Diego
Kagu,bird,San Diego
Kingfisher,bird,San Diego
Kiwi ,bird,San Diego
"Kookaburra, Laughing",bird,San Diego
Lory & Lorikeet,bird,San Diego
Macaw,bird,San Diego
"Mynah, Bali ",bird,San Diego
Ostrich,bird,San Diego
Owl ,bird,San Diego
Parrot,bird,San Diego
"Parrot, Thick-billed ",bird,San Diego
Peafowl,bird,San Diego
Pelican,bird,San Diego
Red-tailed Hawk ,bird,San Diego
Secretary Bird,bird,San Diego
Sociable Weavers ,bird,San Diego
Stork ,bird,San Diego
Thick-billed Parrot ,bird,San Diego
Toucan ,bird,San Diego
Vulture ,bird,San Diego
African mud turtle,amph/rep,San Antonio
African rock python,amph/rep,San Antonio
Aldabra tortoise,amph/rep,San Antonio
